gmId,IdW,Vov,Vth,CdbW,CsbW
2.66666666666667,4.05,0.693,-0.777,7.19e-10,9.24e-10
2.74358974358974,3.9,0.683,-0.777,7.2e-10,9.24e-10
2.80748663101604,3.74,0.663,-0.777,7.21e-10,9.24e-10
2.86908077994429,3.59,0.653,-0.777,7.22e-10,9.24e-10
2.93604651162791,3.44,0.643,-0.777,7.23e-10,9.24e-10
2.98787878787879,3.3,0.623,-0.777,7.24e-10,9.24e-10
3.05696202531646,3.16,0.613,-0.777,7.25e-10,9.24e-10
3.13245033112583,3.02,0.593,-0.777,7.26e-10,9.24e-10
3.21527777777778,2.88,0.583,-0.777,7.27e-10,9.24e-10
3.29090909090909,2.75,0.563,-0.777,7.29e-10,9.24e-10
3.37786259541985,2.62,0.553,-0.777,7.3e-10,9.24e-10
3.46987951807229,2.49,0.533,-0.777,7.31e-10,9.24e-10
3.56118143459916,2.37,0.523,-0.777,7.32e-10,9.24e-10
3.65777777777778,2.25,0.503,-0.777,7.33e-10,9.24e-10
3.76525821596244,2.13,0.493,-0.777,7.34e-10,9.24e-10
3.89054726368159,2.01,0.483,-0.777,7.35e-10,9.24e-10
4.00526315789474,1.9,0.463,-0.777,7.37e-10,9.24e-10
4.12849162011173,1.79,0.453,-0.777,7.38e-10,9.24e-10
4.24852071005917,1.69,0.433,-0.777,7.39e-10,9.24e-10
4.41139240506329,1.58,0.423,-0.777,7.4e-10,9.24e-10
4.56756756756757,1.48,0.403,-0.777,7.41e-10,9.24e-10
4.70503597122302,1.39,0.393,-0.777,7.43e-10,9.24e-10
4.89922480620155,1.29,0.373,-0.777,7.44e-10,9.24e-10
5.09166666666667,1.2,0.363,-0.777,7.45e-10,9.24e-10
5.25892857142857,1.12,0.343,-0.777,7.46e-10,9.24e-10
5.50485436893204,1.03,0.333,-0.777,7.48e-10,9.24e-10
5.72029442691903,0.951,0.323,-0.777,7.49e-10,9.24e-10
5.97254004576659,0.874,0.303,-0.777,7.5e-10,9.24e-10
6.2375,0.8,0.293,-0.777,7.52e-10,9.24e-10
6.54320987654321,0.729,0.273,-0.777,7.53e-10,9.24e-10
6.86838124054463,0.661,0.263,-0.777,7.54e-10,9.24e-10
7.20268006700168,0.597,0.243,-0.777,7.56e-10,9.24e-10
7.59328358208955,0.536,0.233,-0.777,7.57e-10,9.24e-10
7.99582463465553,0.479,0.217,-0.777,7.59e-10,9.24e-10
8.44705882352941,0.425,0.203,-0.777,7.6e-10,9.24e-10
8.9572192513369,0.374,0.189,-0.777,7.61e-10,9.24e-10
9.51070336391437,0.327,0.174,-0.777,7.63e-10,9.24e-10
10.0704225352113,0.284,0.16,-0.777,7.64e-10,9.24e-10
10.6967213114754,0.244,0.145,-0.777,7.66e-10,9.24e-10
11.3942307692308,0.208,0.13,-0.777,7.67e-10,9.24e-10
12.1022727272727,0.176,0.116,-0.777,7.69e-10,9.24e-10
12.8571428571429,0.147,0.101,-0.777,7.7e-10,9.24e-10
13.7190082644628,0.121,0.087,-0.777,7.72e-10,9.24e-10
14.5325203252033,0.0984,0.072,-0.777,7.73e-10,9.24e-10
15.4040404040404,0.0792,0.0579999999999999,-0.777,7.75e-10,9.24e-10
16.3751987281399,0.0629,0.0439999999999999,-0.777,7.77e-10,9.24e-10
17.2008113590264,0.0493,0.029,-0.777,7.78e-10,9.24e-10
18.0839895013123,0.0381,0.015,-0.777,7.8e-10,9.24e-10
18.8698630136986,0.0292,0,-0.777,7.82e-10,9.24e-10
19.6818181818182,0.022,-0.014,-0.777,7.83e-10,9.24e-10
20.3030303030303,0.0165,-0.029,-0.777,7.85e-10,9.24e-10
20.983606557377,0.0122,-0.043,-0.777,7.87e-10,9.24e-10
21.4922048997773,0.00898,-0.0580000000000001,-0.777,7.88e-10,9.24e-10
21.9512195121951,0.00656,-0.0730000000000001,-0.777,7.9e-10,9.24e-10
22.3157894736842,0.00475,-0.0870000000000001,-0.777,7.92e-10,9.24e-10
22.8070175438597,0.00342,-0.102,-0.777,7.94e-10,9.24e-10
23.1836734693878,0.00245,-0.116,-0.777,7.96e-10,9.24e-10
23.4857142857143,0.00175,-0.13,-0.777,7.98e-10,9.24e-10
